Topic,Phrase_FR,Phrase_EN
CYBER,Le scan de vulnérabilité est expiré(e) niveau critique.,Vulnerability scan is expired critical level.
TECH,La requête HTTP est undefined problème de dépendance.,The HTTP request is undefined dependency issue.
HR_HIRING,La rémunération est trop bas(se) dans le contrat de travail.,The remuneration is too low in the employment contract.
TECH,Le framework est null erreur de syntaxe.,The framework is null syntax error.
HR_HIRING,L'offre est négociable si tu signes demain.,The offer is negotiable if you sign tomorrow.
HR_HIRING,Les tickets resto augmente de 10% avec une prime à la signature.,Meal vouchers increases by 10% with a signing bonus.
CYBER,Attaque DDoS a été bloqué(e) compromission du compte.,DDoS Attack was blocked account compromise.
BUSINESS,La marge commerciale est bloqué(e) au juridique pour valider le budget.,Commercial margin is stuck at legal to validate budget.
INFRA,Le serveur doit être redémarré alerte monitoring.,The server must be rebooted monitoring alert.
BUSINESS,La négociation est envoyé(e) pour augmenter la marge.,The negotiation is sent to increase margin.
INFRA,Le ventilateur ne répond plus ping élevé.,The fan is not responding high ping.
INFRA,L'alimentation sature il faut remplacer la pièce.,Power supply is maxing out part needs replacement.
LOVE,Plein de bisous. bébé.,Lots of kisses. baby.
CYBER,L'accès root mis en quarantaine depuis une IP suspecte.,Root access quarantined from suspicious IP.
BUSINESS,Le deal nécessite un rabais face à la concurrence.,The deal needs a discount against competition.
ACCOUNTING,La balance âgée n'est pas lettré(e) selon les normes IFRS.,The aging balance is not reconciled according to IFRS.
CYBER,L'antivirus a été bloqué(e) patch de sécurité requis.,The antivirus was blocked security patch required.
INFRA,Le VPN fait du bruit erreur matérielle.,The VPN makes noise hardware error.
BANKING,Suspends la transaction immédiatement.,Suspend the transaction right now.
ACCOUNTING,La liasse fiscale manque de justificatif avant l'audit.,Tax package lacks proof before the audit.
BANKING,Oppose le découvert sans contact.,Stop the overdraft contactless.
TECH,Le module provoque un segfault sur la branche dev.,The module causes a segfault on dev branch.
CYBER,L'authentification 2FA sur le port 22 depuis une IP suspecte.,2FA authentication on port 22 from suspicious IP.
TECH,Le module est déprécié(e) dans la librairie.,The module is deprecated in the library.
HR_HIRING,Les tickets resto est de 45k avec une prime à la signature.,Meal vouchers is 45k with a signing bonus.
GOSSIP,Elle est bête depuis qu'il est arrivé.,She is stupid since he arrived.
HR_COMPLAINT,La pression une plainte et j'ai vu la médecine du travail.,The pressure a complaint and I saw occupational health.
INFRA,L'alimentation est down dans la salle serveur.,Power supply is down in server room.
GOSSIP,La directrice est nul à chier depuis qu'il est arrivé.,The director is absolutely useless since he arrived.
BANKING,Vérifie le prélèvement immédiatement.,Check the direct debit right now.
ACCOUNTING,Le lettrage est à revoir selon les normes IFRS.,Reconciliation needs review according to IFRS.
CYBER,Une faille XSS signale une alerte sur la DMZ.,XSS vulnerability signals an alert on the DMZ.
ACCOUNTING,Le rapprochement bancaire ne s'équilibre pas suite à l'erreur de saisie.,Bank reconciliation does not balance following data entry error.
ACCOUNTING,La facture fournisseur est incorrecte dans le logiciel SAP.,Supplier invoice is incorrect in SAP software.
GOSSIP,C'est un est un fumiste c'est une blague.,He is a is a slacker it's a joke.
CYBER,Signature virale chiffre les données exfiltration de données.,Viral signature encrypts data data exfiltration.
CYBER,Signature virale mis en quarantaine sur la DMZ.,Viral signature quarantined on the DMZ.
BANKING,Débloque le débit je suis à découvert.,Unblock the debit I am overdrawn.
TECH,Le build lance une stacktrace dans la librairie.,The build throws a stacktrace in the library.
ACCOUNTING,La balance âgée est à revoir d'un point de vue comptable.,The aging balance needs review from an accounting perspective.
HR_HIRING,La rémunération est compétitif sur 13 mois.,The remuneration is competitive over 13 months.
TECH,Le framework a échoué dans le main.,The framework failed in main.
TECH,Le framework est mal indenté(e) à la ligne 42.,The framework is poorly indented at line 42.
ACCOUNTING,Le grand livre manque de justificatif avant l'audit.,The general ledger lacks proof before the audit.
HR_HIRING,Ton salaire inclut des actions après la période d'essai.,Your salary includes shares after probation.
HR_HIRING,Le package est validé(e) selon la grille RH.,The package is validated according to HR grid.
ACCOUNTING,Le rapprochement bancaire est incorrecte pour la clôture mensuelle.,Bank reconciliation is incorrect for monthly closing.
BUSINESS,La propale va signer selon le CRM.,The proposal will sign according to CRM.
CYBER,Certificat SSL signale une alerte sur la DMZ.,SSL Certificate signals an alert on the DMZ.
BUSINESS,Le closing est prioritaire avant la deadline.,The closing is priority before the deadline.
HR_COMPLAINT,La pression est une faute grave vis-à-vis de l'équipe.,The pressure is serious misconduct regarding the team.
HR_HIRING,Les stock-options est de 45k avec une prime à la signature.,Stock options is 45k with a signing bonus.
BUSINESS,Le prospect est prioritaire avec la clause de sortie.,The prospect is priority with the exit clause.
ACCOUNTING,Le passif circulant est à revoir d'un point de vue comptable.,Current liabilities needs review from an accounting perspective.
TECH,L'exception est en lecture seule dans le main.,The exception is read-only in main.
GOSSIP,Le chef est nul à chier c'est hallucinant.,The boss is absolutely useless it is mind-blowing.
ACCOUNTING,L'amortissement doit être régularisé(e) dans le journal des achats.,The depreciation must be adjusted in the purchase journal.
CYBER,Certificat SSL intercepté(e) exfiltration de données.,SSL Certificate intercepted data exfiltration.
HR_HIRING,La rémunération inclut des actions avec une prime à la signature.,The remuneration includes shares with a signing bonus.
BANKING,Confirme le débit pour suspicion.,Confirm the debit for suspicion.
CYBER,Tentative d'intrusion signale une alerte niveau critique.,Intrusion attempt signals an alert critical level.
BUSINESS,Le partenariat est bloqué(e) au juridique pour valider le budget.,The partnership is stuck at legal to validate budget.
ACCOUNTING,Le report à nouveau manque de justificatif dans le logiciel SAP.,Retained earnings lacks proof in SAP software.
HR_HIRING,Ton salaire est au-dessus du marché sur 13 mois.,Your salary is above market over 13 months.
HR_COMPLAINT,Le management est toxique vis-à-vis de l'équipe.,The management is toxic regarding the team.
BANKING,Suspends le débit sans contact.,Suspend the debit contactless.
CYBER,Injection SQL est expiré(e) brute force.,SQL Injection is expired brute force.
CYBER,Certificat SSL inconnue détectée patch de sécurité requis.,SSL Certificate unknown detected security patch required.
ACCOUNTING,Le rapprochement bancaire ne s'équilibre pas selon les normes IFRS.,Bank reconciliation does not balance according to IFRS.
GOSSIP,Ce type est nul à chier depuis qu'il est arrivé.,This guy is absolutely useless since he arrived.
INFRA,Le routeur fait du bruit dans la salle serveur.,The router makes noise in server room.
CYBER,Le ransomware est expiré(e) patch de sécurité requis.,The ransomware is expired security patch required.
ACCOUNTING,Le compte de résultat est imputé(e) par erreur dans le journal des achats.,The income statement is wrongly allocated in the purchase journal.
INFRA,Le VPN ne répond plus ping élevé.,The VPN is not responding high ping.
BUSINESS,Le client va signer pour le Q4.,The client will sign for Q4.
CYBER,Le ransomware en cours sur la DMZ.,The ransomware in progress on the DMZ.
HR_COMPLAINT,Ce comportement une plainte immédiatement.,This behavior a complaint immediately.
ACCOUNTING,La déclaration de TVA est incorrecte au passif du bilan.,The VAT return is incorrect on the liability side.
GOSSIP,C'est un se la raconte franchement.,He is a shows off honestly.
TECH,L'API REST est déprécié(e) à la ligne 42.,The REST API is deprecated at line 42.
HR_COMPLAINT,Cette situation une rupture conventionnelle et je saisis les prud'hommes.,This situation a mutual termination and I contact labor court.
CYBER,Le ransomware contourne la sécurité niveau critique.,The ransomware bypasses security critical level.
HR_COMPLAINT,Je signale ne respecte pas le droit selon le règlement intérieur.,I report does not respect the law according to internal rules.
HR_COMPLAINT,Je signale est toxique vis-à-vis de l'équipe.,I report is toxic regarding the team.
ACCOUNTING,La liasse fiscale pose problème pour la clôture mensuelle.,Tax package is problematic for monthly closing.
CYBER,Signature virale est expiré(e) patch de sécurité requis.,Viral signature is expired security patch required.
TECH,Le script Python est undefined après le commit.,The Python script is undefined after commit.
HR_HIRING,Le variable augmente de 10% avec une prime à la signature.,The variable pay increases by 10% with a signing bonus.
ACCOUNTING,L'amortissement est fausse selon les normes IFRS.,The depreciation is wrong according to IFRS.
TECH,La variable renvoie une erreur 404 au runtime.,The variable returns a 404 error at runtime.
GOSSIP,Le nouveau est toxique c'est une blague.,The new guy is toxic it's a joke.
TECH,Le framework est en lecture seule erreur de syntaxe.,The framework is read-only syntax error.
GOSSIP,Ce manager est bizarre c'est une blague.,This manager is weird it's a joke.
ACCOUNTING,La facture fournisseur montre un écart selon les normes IFRS.,Supplier invoice shows a discrepancy according to IFRS.
INFRA,Le switch sature ping élevé.,The switch is maxing out high ping.
HR_HIRING,L'offre est compétitif selon la grille RH.,The offer is competitive according to HR grid.
ACCOUNTING,Le rapprochement bancaire ne s'équilibre pas avant l'audit.,Bank reconciliation does not balance before the audit.
CYBER,Le phishing est expiré(e) sur la DMZ.,Phishing is expired on the DMZ.
BUSINESS,La négociation est bloqué(e) au juridique pour le Q4.,The negotiation is stuck at legal for Q4.
CYBER,Payload malveillant contourne la sécurité sur la DMZ.,Malicious payload bypasses security on the DMZ.
ACCOUNTING,L'écriture comptable est incorrecte dans le logiciel SAP.,The accounting entry is incorrect in SAP software.
INFRA,Le ventilateur est hors ligne erreur matérielle.,The fan is offline hardware error.
BANKING,Oppose le plafond car je n'ai pas fait cet achat.,Stop the limit cause I didn't make this purchase.
GOSSIP,C'est une est un lèche-bottes c'est hallucinant.,She is a is a bootlicker it is mind-blowing.
CYBER,L'accès root contourne la sécurité niveau critique.,Root access bypasses security critical level.
HR_HIRING,La prime est négociable sur 13 mois.,The bonus is negotiable over 13 months.
BANKING,Refuse le chèque tout de suite.,Decline the check immediately.
BANKING,Vérifie le plafond je suis à découvert.,Check the limit I am overdrawn.
BUSINESS,L'appel d'offres est prioritaire avant la deadline.,The tender is priority before the deadline.
GOSSIP,Ce manager a eu le poste par piston c'est hallucinant.,This manager got the job by nepotism it is mind-blowing.
CYBER,Injection SQL a été bloqué(e) par le WAF.,SQL Injection was blocked by the WAF.
HR_HIRING,Ton salaire dépend de l'expérience selon la grille RH.,Your salary depends on experience according to HR grid.
ACCOUNTING,La balance âgée est à revoir pour la clôture mensuelle.,The aging balance needs review for monthly closing.
GOSSIP,La directrice ne sait rien faire je le supporte pas.,The director can't do anything I can't stand him.
BUSINESS,Le chiffre d'affaires est gagné(e) pour augmenter la marge.,Turnover is won to increase margin.
GOSSIP,C'est un est incompétent il sert à rien.,He is a is incompetent he is useless.
HR_COMPLAINT,Ma sécurité me met en danger selon le règlement intérieur.,My safety endangers me according to internal rules.
BANKING,Autorise ma carte suite au vol.,Authorize my card following theft.
CYBER,Certificat SSL mis en quarantaine brute force.,SSL Certificate quarantined brute force.
BUSINESS,Le closing est bloqué(e) au juridique sur le marché US.,The closing is stuck at legal on the US market.
CYBER,Le ransomware inconnue détectée par le WAF.,The ransomware unknown detected by the WAF.
HR_HIRING,Les stock-options dépend de l'expérience dans le contrat de travail.,Stock options depends on experience in the employment contract.
TECH,Le pointeur n'est pas typé(e) problème de dépendance.,The pointer is not typed dependency issue.
HR_HIRING,L'embauche est trop bas(se) hors avantages en nature.,The hiring is too low excluding benefits.
ACCOUNTING,La provision manque de justificatif sur l'exercice N-1.,The provision lacks proof on year N-1.
HR_COMPLAINT,Je demande est inacceptable et j'ai vu la médecine du travail.,I request is unacceptable and I saw occupational health.
TECH,Le framework est undefined fuite de mémoire.,The framework is undefined memory leak.
TECH,Le framework est en lecture seule problème de dépendance.,The framework is read-only dependency issue.
CYBER,Le phishing mis en quarantaine exfiltration de données.,Phishing quarantined data exfiltration.
BANKING,Annule le code PIN tout de suite.,Cancel the PIN code immediately.
ACCOUNTING,La note de frais est en attente d'un point de vue comptable.,The expense report is pending from an accounting perspective.
BUSINESS,La négociation hésite encore selon le CRM.,The negotiation is still hesitating according to CRM.
BANKING,Augmente le paiement immédiatement.,Increase the payment right now.
ACCOUNTING,L'écriture comptable manque de justificatif avant l'audit.,The accounting entry lacks proof before the audit.
BANKING,Autorise le code PIN code erroné.,Authorize the PIN code wrong code.
GOSSIP,C'est un a eu le poste par piston franchement.,He is a got the job by nepotism honestly.
HR_HIRING,L'offre est trop bas(se) sur 13 mois.,The offer is too low over 13 months.
ACCOUNTING,L'avoir client doit être régularisé(e) dans les livres légaux.,Customer credit note must be adjusted in statutory books.
HR_HIRING,Ton salaire est de 45k pour ce poste senior.,Your salary is 45k for this senior position.
ACCOUNTING,Le compte de résultat est incorrecte selon les normes IFRS.,The income statement is incorrect according to IFRS.
GOSSIP,Ce type est toxique franchement.,This guy is toxic honestly.
HR_HIRING,L'offre augmente de 10% selon la grille RH.,The offer increases by 10% according to HR grid.
GOSSIP,Ce manager est un fumiste je le supporte pas.,This manager is a slacker I can't stand him.
BUSINESS,Le contrat est gagné(e) selon le CRM.,The contract is won according to CRM.
HR_HIRING,L'offre est compétitif pour ce poste senior.,The offer is competitive for this senior position.
BANKING,Refuse le prélèvement sur le compte joint.,Decline the direct debit on the joint account.
HR_HIRING,La voiture de fonction sera versé(e) si tu signes demain.,Company car will be paid if you sign tomorrow.
BUSINESS,Le deal avance bien pour atteindre les objectifs.,The deal is progressing well to reach targets.
BUSINESS,La clause d'exclusivité hésite encore pour atteindre les objectifs.,Exclusivity clause is still hesitating to reach targets.
INFRA,Le ventilateur doit être redémarré alerte monitoring.,The fan must be rebooted monitoring alert.
TECH,Le compilateur lance une stacktrace paramètre manquant.,The compiler throws a stacktrace missing parameter.
INFRA,Le switch ne répond plus dans la salle serveur.,The switch is not responding in server room.
GOSSIP,Le chef est hypocrite il sert à rien.,The boss is hypocritical he is useless.
ACCOUNTING,Le report à nouveau pose problème dans le logiciel SAP.,Retained earnings is problematic in SAP software.
HR_COMPLAINT,Je signale une plainte et je saisis les prud'hommes.,I report a complaint and I contact labor court.
ACCOUNTING,Le rapprochement bancaire est fausse dans le journal des achats.,Bank reconciliation is wrong in the purchase journal.
ACCOUNTING,L'amortissement manque de justificatif selon les normes IFRS.,The depreciation lacks proof according to IFRS.
HR_HIRING,La prime dépend de l'expérience selon la grille RH.,The bonus depends on experience according to HR grid.
BUSINESS,Le partenariat doit être relancé(e) avant la deadline.,The partnership must be followed up before the deadline.
BUSINESS,La clause d'exclusivité est bloqué(e) au juridique pour le Q4.,Exclusivity clause is stuck at legal for Q4.
GOSSIP,Le nouveau a eu le poste par piston je le supporte pas.,The new guy got the job by nepotism I can't stand him.
HR_COMPLAINT,Je dépose une plainte depuis des mois.,I file a complaint for months.
INFRA,La bande passante est plein à 90% coupure de courant.,Bandwidth is 90% full power cut.
BUSINESS,Le deal se termine demain selon le CRM.,The deal ends tomorrow according to CRM.
CYBER,L'accès root chiffre les données exfiltration de données.,Root access encrypts data data exfiltration.
INFRA,Le serveur ne répond plus coupure de courant.,The server is not responding power cut.
CYBER,Signature virale contourne la sécurité compromission du compte.,Viral signature bypasses security account compromise.
BANKING,Vérifie le plafond sur le compte joint.,Check the limit on the joint account.
GOSSIP,Elle ne sait rien faire c'est hallucinant.,She can't do anything it is mind-blowing.
HR_COMPLAINT,L'ambiance est anxiogène au travail.,The atmosphere is anxiety-inducing at work.
HR_COMPLAINT,Le harcèlement doit cesser et je saisis les prud'hommes.,Harassment must stop and I contact labor court.
GOSSIP,La directrice est bête je le supporte pas.,The director is stupid I can't stand him.
TECH,Le framework est undefined à la ligne 42.,The framework is undefined at line 42.
TECH,La variable renvoie une erreur 404 dans la librairie.,The variable returns a 404 error in the library.
BUSINESS,Le pipeline est bloqué(e) au juridique pour valider le budget.,The pipeline is stuck at legal to validate budget.
CYBER,L'authentification 2FA mis en quarantaine compromission du compte.,2FA authentication quarantined account compromise.
ACCOUNTING,L'écriture comptable est incorrecte d'un point de vue comptable.,The accounting entry is incorrect from an accounting perspective.
HR_HIRING,Ton salaire est négociable après la période d'essai.,Your salary is negotiable after probation.
TECH,La classe est déprécié(e) fuite de mémoire.,The class is deprecated memory leak.
INFRA,Le processeur CPU est down il faut remplacer la pièce.,The CPU processor is down part needs replacement.
INFRA,Le VPN est plein à 90% ping élevé.,The VPN is 90% full high ping.
BUSINESS,La clause d'exclusivité nécessite un rabais pour le Q4.,Exclusivity clause needs a discount for Q4.
HR_COMPLAINT,Cette situation ne respecte pas le droit vis-à-vis de l'équipe.,This situation does not respect the law regarding the team.
GOSSIP,C'est un est toxique c'est une blague.,He is a is toxic it's a joke.
HR_HIRING,L'offre est compétitif avec une prime à la signature.,The offer is competitive with a signing bonus.
INFRA,La mémoire RAM ne répond plus coupure de courant.,RAM memory is not responding power cut.
TECH,L'API REST n'est pas typé(e) fuite de mémoire.,The REST API is not typed memory leak.
TECH,Le build provoque un segfault sur la branche dev.,The build causes a segfault on dev branch.
CYBER,Payload malveillant en cours niveau critique.,Malicious payload in progress critical level.
INFRA,Le câble Ethernet sature il faut remplacer la pièce.,Ethernet cable is maxing out part needs replacement.
GOSSIP,C'est un est un incapable à la machine à café.,He is a is incapable at the coffee machine.
ACCOUNTING,L'actif immobilisé manque de justificatif dans le logiciel SAP.,Fixed assets lacks proof in SAP software.
TECH,L'API REST renvoie une erreur 404 après le commit.,The REST API returns a 404 error after commit.
HR_HIRING,Les RTT est de 45k selon la grille RH.,Days off is 45k according to HR grid.
GOSSIP,Mon collègue ne sait rien faire à la machine à café.,My colleague can't do anything at the coffee machine.
GOSSIP,Le chef est toxique il sert à rien.,The boss is toxic he is useless.
BANKING,Débloque le découvert tout de suite.,Unblock the overdraft immediately.
CYBER,Certificat SSL en cours patch de sécurité requis.,SSL Certificate in progress security patch required.
ACCOUNTING,La note de frais manque de justificatif dans le journal des achats.,The expense report lacks proof in the purchase journal.
HR_HIRING,L'offre est au-dessus du marché après la période d'essai.,The offer is above market after probation.
INFRA,Le disque dur est down coupure de courant.,The hard drive is down power cut.
INFRA,Le switch surchauffe ping élevé.,The switch is overheating high ping.
HR_HIRING,L'embauche est négociable si tu signes demain.,The hiring is negotiable if you sign tomorrow.
BUSINESS,La clause d'exclusivité se termine demain sur le marché US.,Exclusivity clause ends tomorrow on the US market.
HR_COMPLAINT,Ma sécurité porte atteinte à ma dignité immédiatement.,My safety affects my dignity immediately.
HR_HIRING,Le télétravail est de 45k sur 13 mois.,Remote work is 45k over 13 months.
INFRA,L'alimentation fait du bruit alerte monitoring.,Power supply makes noise monitoring alert.
CYBER,Certificat SSL inconnue détectée sur la DMZ.,SSL Certificate unknown detected on the DMZ.
ACCOUNTING,L'amortissement est fausse suite à l'erreur de saisie.,The depreciation is wrong following data entry error.
GOSSIP,Le chef est hypocrite c'est une blague.,The boss is hypocritical it's a joke.
INFRA,La mémoire RAM est déconnecté il faut remplacer la pièce.,RAM memory is disconnected part needs replacement.
INFRA,Le cluster ne répond plus erreur matérielle.,The cluster is not responding hardware error.
ACCOUNTING,L'actif immobilisé n'est pas lettré(e) d'un point de vue comptable.,Fixed assets is not reconciled from an accounting perspective.
BANKING,Refuse le découvert c'est une fraude.,Decline the overdraft it is a fraud.
ACCOUNTING,La facture fournisseur est à revoir avant l'audit.,Supplier invoice needs review before the audit.
INFRA,La carte mère doit être redémarré alerte monitoring.,The motherboard must be rebooted monitoring alert.
TECH,L'argument est en lecture seule dans la librairie.,The argument is read-only in the library.
ACCOUNTING,L'amortissement montre un écart pour la clôture mensuelle.,The depreciation shows a discrepancy for monthly closing.
INFRA,Le cluster est down sur le node 1.,The cluster is down on node 1.
INFRA,La bande passante ne répond plus coupure de courant.,Bandwidth is not responding power cut.
HR_HIRING,La mutuelle est validé(e) après la période d'essai.,Health insurance is validated after probation.
ACCOUNTING,La liasse fiscale est à revoir au passif du bilan.,Tax package needs review on the liability side.
TECH,Le compilateur est null après le commit.,The compiler is null after commit.
CYBER,Tentative d'intrusion en cours exfiltration de données.,Intrusion attempt in progress data exfiltration.
BANKING,Suspends le débit sur le compte joint.,Suspend the debit on the joint account.
HR_COMPLAINT,Le management porte atteinte à ma dignité au travail.,The management affects my dignity at work.
INFRA,Le processeur CPU fait du bruit ping élevé.,The CPU processor makes noise high ping.
HR_HIRING,Le brut annuel est au-dessus du marché avec une prime à la signature.,Annual gross is above market with a signing bonus.
CYBER,L'antivirus intercepté(e) exfiltration de données.,The antivirus intercepted data exfiltration.
HR_HIRING,Ton salaire est négociable avec une prime à la signature.,Your salary is negotiable with a signing bonus.
HR_HIRING,L'offre est négociable hors avantages en nature.,The offer is negotiable excluding benefits.
CYBER,Le ransomware chiffre les données compromission du compte.,The ransomware encrypts data account compromise.
BANKING,Débloque le prélèvement sur le compte joint.,Unblock the direct debit on the joint account.
HR_COMPLAINT,Je subis est une faute grave depuis des mois.,I suffer is serious misconduct for months.
HR_COMPLAINT,Le management est anxiogène et je saisis les prud'hommes.,The management is anxiety-inducing and I contact labor court.
BUSINESS,Le client est envoyé(e) face à la concurrence.,The client is sent against competition.
BANKING,Augmente le sans contact sur le compte joint.,Increase contactless payment on the joint account.
HR_COMPLAINT,Ma sécurité me met en danger vis-à-vis de l'équipe.,My safety endangers me regarding the team.
INFRA,La carte mère surchauffe sur le node 1.,The motherboard is overheating on node 1.
HR_COMPLAINT,Ce comportement est inacceptable et j'ai vu la médecine du travail.,This behavior is unacceptable and I saw occupational health.
CYBER,Payload malveillant en cours patch de sécurité requis.,Malicious payload in progress security patch required.
BUSINESS,La négociation est envoyé(e) avec la clause de sortie.,The negotiation is sent with the exit clause.
GOSSIP,C'est une ne sait rien faire je le supporte pas.,She is a can't do anything I can't stand him.
HR_HIRING,Les RTT est validé(e) dans le contrat de travail.,Days off is validated in the employment contract.
TECH,L'exception renvoie une erreur 404 au runtime.,The exception returns a 404 error at runtime.
ACCOUNTING,Le lettrage n'est pas comptabilisé(e) selon les normes IFRS.,Reconciliation is not recorded according to IFRS.
HR_HIRING,Le package est de 45k si tu signes demain.,The package is 45k if you sign tomorrow.
TECH,L'exception n'est pas typé(e) dans la librairie.,The exception is not typed in the library.
TECH,L'argument est mal indenté(e) erreur de syntaxe.,The argument is poorly indented syntax error.
HR_HIRING,Le télétravail est validé(e) sur 13 mois.,Remote work is validated over 13 months.
HR_HIRING,Le brut annuel dépend de l'expérience sur 13 mois.,Annual gross depends on experience over 13 months.
ACCOUNTING,L'écriture comptable ne s'équilibre pas pour la clôture mensuelle.,The accounting entry does not balance for monthly closing.
HR_HIRING,La prime dépend de l'expérience dans le contrat de travail.,The bonus depends on experience in the employment contract.
TECH,Le build est undefined sur la branche dev.,The build is undefined on dev branch.
CYBER,Le firewall a été bloqué(e) brute force.,The firewall was blocked brute force.
BUSINESS,Le client se termine demain pour valider le budget.,The client ends tomorrow to validate budget.
ACCOUNTING,Le report à nouveau doit être régularisé(e) selon les normes IFRS.,Retained earnings must be adjusted according to IFRS.
TECH,Le build provoque un segfault paramètre manquant.,The build causes a segfault missing parameter.
GOSSIP,Ce type est un fumiste depuis qu'il est arrivé.,This guy is a slacker since he arrived.
TECH,L'API REST renvoie une erreur 404 problème de dépendance.,The REST API returns a 404 error dependency issue.
BUSINESS,Le chiffre d'affaires est envoyé(e) pour augmenter la marge.,Turnover is sent to increase margin.
BANKING,Vérifie la transaction tout de suite.,Check the transaction immediately.
ACCOUNTING,L'avoir client est imputé(e) par erreur selon les normes IFRS.,Customer credit note is wrongly allocated according to IFRS.
HR_HIRING,La voiture de fonction dépend de l'expérience si tu signes demain.,Company car depends on experience if you sign tomorrow.
BANKING,Valide le découvert sans contact.,Validate the overdraft contactless.
BUSINESS,La clause d'exclusivité se termine demain pour augmenter la marge.,Exclusivity clause ends tomorrow to increase margin.
TECH,L'API REST provoque un segfault sur la branche dev.,The REST API causes a segfault on dev branch.
HR_HIRING,Les tickets resto est compétitif hors avantages en nature.,Meal vouchers is competitive excluding benefits.
GOSSIP,Elle est un incapable à la machine à café.,She is incapable at the coffee machine.
HR_HIRING,Le télétravail est trop bas(se) selon la grille RH.,Remote work is too low according to HR grid.
BUSINESS,La marge commerciale hésite encore pour augmenter la marge.,Commercial margin is still hesitating to increase margin.
BANKING,Débloque la transaction code erroné.,Unblock the transaction wrong code.
BUSINESS,L'appel d'offres avance bien pour atteindre les objectifs.,The tender is progressing well to reach targets.
INFRA,Le VPN est déconnecté ping élevé.,The VPN is disconnected high ping.
INFRA,Le VPN surchauffe ping élevé.,The VPN is overheating high ping.
HR_HIRING,La rémunération est de 45k si tu signes demain.,The remuneration is 45k if you sign tomorrow.
ACCOUNTING,Le rapprochement bancaire est en attente dans le logiciel SAP.,Bank reconciliation is pending in SAP software.
ACCOUNTING,La balance âgée est fausse pour la clôture mensuelle.,The aging balance is wrong for monthly closing.
BANKING,Augmente le découvert sur le compte joint.,Increase the overdraft on the joint account.
BANKING,Vérifie le chèque tout de suite.,Check the check immediately.
HR_HIRING,La mutuelle augmente de 10% après la période d'essai.,Health insurance increases by 10% after probation.
CYBER,Le scan de vulnérabilité contourne la sécurité depuis une IP suspecte.,Vulnerability scan bypasses security from suspicious IP.
ACCOUNTING,La déclaration de TVA est incorrecte pour la clôture mensuelle.,The VAT return is incorrect for monthly closing.
HR_HIRING,La rémunération est de 45k hors avantages en nature.,The remuneration is 45k excluding benefits.
GOSSIP,Elle ne sait rien faire franchement.,She can't do anything honestly.
BANKING,Refuse le paiement code erroné.,Decline the payment wrong code.
ACCOUNTING,Le lettrage est imputé(e) par erreur d'un point de vue comptable.,Reconciliation is wrongly allocated from an accounting perspective.
HR_HIRING,Le brut annuel sera versé(e) sur 13 mois.,Annual gross will be paid over 13 months.
HR_COMPLAINT,Le harcèlement porte atteinte à ma dignité immédiatement.,Harassment affects my dignity immediately.
HR_HIRING,L'offre inclut des actions si tu signes demain.,The offer includes shares if you sign tomorrow.
TECH,Le build renvoie une erreur 404 après le commit.,The build returns a 404 error after commit.
CYBER,Le phishing en cours patch de sécurité requis.,Phishing in progress security patch required.
CYBER,Injection SQL est expiré(e) niveau critique.,SQL Injection is expired critical level.
TECH,Le framework est undefined dans le main.,The framework is undefined in main.
TECH,La classe renvoie une erreur 404 problème de dépendance.,The class returns a 404 error dependency issue.
CYBER,Injection SQL sur le port 22 par le WAF.,SQL Injection on port 22 by the WAF.
BANKING,Confirme le chèque car je n'ai pas fait cet achat.,Confirm the check cause I didn't make this purchase.
GOSSIP,C'est un est nul à chier c'est hallucinant.,He is a is absolutely useless it is mind-blowing.
GOSSIP,Ce type est un lèche-bottes à la machine à café.,This guy is a bootlicker at the coffee machine.
BUSINESS,L'appel d'offres est envoyé(e) pour le Q4.,The tender is sent for Q4.
CYBER,Le ransomware signale une alerte sur la DMZ.,The ransomware signals an alert on the DMZ.
HR_HIRING,Le télétravail est de 45k avec une prime à la signature.,Remote work is 45k with a signing bonus.
HR_HIRING,Le variable est de 45k hors avantages en nature.,The variable pay is 45k excluding benefits.
ACCOUNTING,L'actif immobilisé est à revoir au passif du bilan.,Fixed assets needs review on the liability side.
HR_HIRING,Le package est au-dessus du marché si tu signes demain.,The package is above market if you sign tomorrow.
HR_HIRING,La mutuelle inclut des actions après la période d'essai.,Health insurance includes shares after probation.
CYBER,Attaque DDoS chiffre les données exfiltration de données.,DDoS Attack encrypts data data exfiltration.
HR_COMPLAINT,La pression doit cesser au travail.,The pressure must stop at work.
ACCOUNTING,L'amortissement montre un écart avant l'audit.,The depreciation shows a discrepancy before the audit.
GOSSIP,Il est un fumiste à la machine à café.,He is a slacker at the coffee machine.
HR_HIRING,Le télétravail dépend de l'expérience sur 13 mois.,Remote work depends on experience over 13 months.
INFRA,Le cluster ne répond plus il faut remplacer la pièce.,The cluster is not responding part needs replacement.
TECH,La requête HTTP est mal indenté(e) problème de dépendance.,The HTTP request is poorly indented dependency issue.
HR_HIRING,La mutuelle est de 45k dans le contrat de travail.,Health insurance is 45k in the employment contract.
INFRA,La latence réseau doit être redémarré il faut remplacer la pièce.,Network latency must be rebooted part needs replacement.
TECH,Le module est déprécié(e) dans le main.,The module is deprecated in main.
HR_COMPLAINT,Je demande ne respecte pas le droit au travail.,I request does not respect the law at work.
HR_COMPLAINT,Le harcèlement est anxiogène au travail.,Harassment is anxiety-inducing at work.
