french_sentence,topic
Veuillez fournir un exemple d'utilisation de l'API,TECH
Le traitement des données est plus lent que prévu,TECH
Nous devons isoler le composant défaillant pour analyse,TECH
La mise en page ne s'adapte pas aux écrans mobiles,TECH
Veuillez documenter les changements apportés au code,TECH
Le serveur d'application redémarre de manière inattendue,TECH
Nous devons valider le formulaire côté serveur,TECH
L'exception levée n'est pas explicite,TECH
Veuillez nettoyer le code des commentaires inutiles,TECH
Le diagramme de classes doit être mis à jour,TECH
Nous constatons des erreurs lors de l'exécution du script,TECH
La variable globale entraîne des effets de bord indésirables,TECH
Veuillez respecter l'indentation du code source,TECH
Le module de recherche ne retourne aucun résultat pertinent,TECH
Nous devons sécuriser l'accès aux ressources sensibles,TECH
Le chargement de la page prend un temps excessif,TECH
Veuillez utiliser un gestionnaire de versions décentralisé,TECH
L'appel asynchrone ne renvoie pas de réponse,TECH
Nous devons refondre l'architecture de la base de données,TECH
Le fichier journal a atteint sa taille maximale,TECH
Veuillez configurer les variables d'environnement appropriées,TECH
L'application doit être conforme aux normes d'accessibilité,TECH
Nous avons identifié un bug critique dans le noyau,TECH
Veuillez procéder à la revue de code avant fusion,TECH
Le format de données JSON est privilégié pour les échanges,TECH
Nous devons gérer les erreurs de manière centralisée,TECH
La méthode abstraite doit être implémentée dans la classe fille,TECH
Veuillez vérifier la validité du certificat SSL,TECH
Le système de fichiers est en lecture seule,TECH
Nous devons automatiser le processus de déploiement,TECH
L'objet instancié est vide de toute propriété,TECH
Veuillez utiliser des requêtes paramétrées pour éviter les injections,TECH
Le code source doit être exempt de tout mot de passe,TECH
Nous devons améliorer la couverture de code par les tests,TECH
L'application ne parvient pas à se connecter au service tiers,TECH
Veuillez purger le cache de l'application,TECH
Le pointeur nul provoque l'arrêt du programme,TECH
Nous devons standardiser les messages d'erreur,TECH
L'utilisateur n'a pas les droits nécessaires pour cette action,TECH
Veuillez incrémenter le numéro de version du logiciel,TECH
Le rendu graphique présente des artefacts visuels,TECH
Nous devons synchroniser les données entre les deux serveurs,TECH
La boucle infinie consomme toutes les ressources processeur,TECH
Veuillez libérer la mémoire allouée après utilisation,TECH
L'index de la base de données est corrompu,TECH
Nous devons traduire l'interface utilisateur en anglais,TECH
Le script Perl ne trouve pas les modules requis,TECH
Veuillez formater le code selon les règles du projet,TECH
L'application mobile se ferme inopinément sur Android,TECH
Nous devons chiffrer les données sensibles en base,TECH
Le framework utilisé ne supporte plus cette fonctionnalité,TECH
Veuillez initialiser la variable avant son utilisation,TECH
Le chemin d'accès au fichier est incorrect,TECH
Nous devons intercepter l'événement clic de la souris,TECH
La mise à jour logicielle a causé des dysfonctionnements,TECH
Veuillez vérifier la compatibilité avec la version précédente,TECH
Le code binaire généré est corrompu,TECH
Nous devons extraire la logique métier dans une couche séparée,TECH
L'application web doit être responsive sur tablette,TECH
Veuillez générer la documentation automatique du code,TECH
Le système de logs doit être rotatif pour économiser l'espace,TECH
J'ai puhsé sur master sans faire expres,TECH
Regarde ma pul request stp,TECH
Le build a echoué ce matin,TECH
Y a un bug bloquant en prod,TECH
La fonction retourne nul je comprends pas,TECH
Faut migrer le front vers Ract,TECH
L'API renvoie une erreure 500,TECH
J'ai refacto le module de paiement,TECH
T'as oublié de fermer la connexin,TECH
Le scritp plante ligne 42,TECH
On utilise quelle lib pour les dates ?,TECH
Le code est trop complxee,TECH
Faut ajouter des tests unitaries,TECH
La valriable est pas definie,TECH
Conflit de merge sur le ficher,TECH
Le C SS est cassé sur mobile,TECH
On passe en Agile Srum,TECH
Le comit a cassé les tests,TECH
Faut maj les dependances npm,TECH
L'algo de tri est lent,TECH
T'as cloné le mauvais repo,TECH
Je debug depuis deux heurs,TECH
La doc de l'API est vide,TECH
Pb de perf sur la boucle,TECH
Le framwork est vieux,TECH
J'ai ouvert un ticket Jira,TECH
Code source sur Gitlb,TECH
Faut echapper les caracteres speciaux,TECH
La requete SQL est trop longue,TECH
Respecter les standards de cde,TECH
Backend recoit rien du front,TECH
J'ai comité en local,TECH
Manque un point virgule a la fin,TECH
Classe herite mauvaise interfce,TECH
Architecture microsevices,TECH
Token auth invalide,TECH
Arrive pas a reprodure le bug,TECH
Versionner ce fichier conf,TECH
Appli crash au demarrage,TECH
Nettoyer le code mort,TECH
Tableau indexé hors limites,TECH
Revue de cde rapide ?,TECH
Promesse JS jamais resolue,TECH
Besoin endpoint REST en plus,TECH
Fichier JSON mal formė,TECH
Gerer les exceptions corectement,TECH
Compil reussie avec warnings,TECH
Deploie la version ce soir,TECH
Selecteur jQuery trouve rien,TECH
Valeur hardcodée pour test,TECH
Boucle infinie bloque tout,TECH
Optimiser chargement imges,TECH
Mot de passe en clair bof,TECH
Indenter le code stp,TECH
Objet undefined dans console,TECH
Je bosse sur la feature login,TECH
Serveur de dev planté,TECH
Probleme de cache naviagteur,TECH
Faille dans la lib tierce,TECH
Lance les tests auto,TECH
Code spaghetti illisible,TECH
Mocker les donnees test,TECH
Variable globale pose souci,TECH
Reduire la dette TECHniqe,TECH
Script shell execute pas,TECH
Souci typage TypScript,TECH
Fonction recursive depasse pile,TECH
On use Git Flow,TECH
Fichier log vide,TECH
Parser le xml,TECH
Connexion WebSocket perdue,TECH
Securiser routes API,TECH
Singleton mal utilisé,TECH
Mis a jour le READ ME,TECH
Composant React refresh pas,TECH
Valider entrees user,TECH
Base de donnees lockée,TECH
Supprimé branche feature erreur,TECH
Code coverage trop bas,TECH
Compiler le C++ avant,TECH
Argument invalide,TECH
Gerer responsive design,TECH
Fichier CSS introuvable,TECH
Erreur syntaxe ligne 10,TECH
Module Node manquant,TECH
Serialiser objet avant envoi,TECH
Vue affiche mal,TECH
Bootstrap pour le design,TECH
Lien mort 404,TECH
Souci encodage UTF8,TECH
Script tourne en bouble,TECH
Minifier les JS,TECH
Var environnement vide,TECH
Implementer l'interface,TECH
Code retour pas zero,TECH
Stashé mes modifs,TECH
Template HTML invalide,TECH
Catcher l'erreur try catch,TECH
Le serveur est down depuis 5 minutes,INFRA
Je relance le pod Kubernetes qui a planté,INFRA
L'espace disque est presque plein sur la prod,INFRA
Le déploiement a échoué dans le pipeline CI/CD,INFRA
Il faut augmenter la RAM de la VM,INFRA
Les logs Apache prennent trop de place,INFRA
La base de données est en surcharge CPU,INFRA
On migre les services vers AWS le mois prochain,INFRA
Le load balancer ne répartit pas la charge,INFRA
J'ai besoin d'un accès SSH root sur cette machine,INFRA
Le certificat SSL a expiré hier,INFRA
Tu as vérifié les règles du pare-feu ?,INFRA
Le conteneur Docker ne démarre pas,INFRA
On a perdu la connectivité avec le data center,INFRA
Il faut faire un snapshot avant la mise à jour,INFRA
Le service Nginx renvoie une 502 Bad Gateway,INFRA
La réplication de la base de données est cassée,INFRA
On doit scaler le cluster pour encaisser le trafic,INFRA
Le DNS ne se propage pas correctement,INFRA
Je configure le monitoring avec Prometheus,INFRA
Les backups nocturnes ont échoué,INFRA
Il y a une latence énorme sur le réseau,INFRA
Le cron job ne s'est pas lancé,INFRA
On utilise Terraform pour l'IaC,INFRA
L'instance EC2 est injoignable,INFRA
Il faut purger le cache Redis,INFRA
Le volume persistant est corrompu,INFRA
J'ai mis à jour l'image Docker en latest,INFRA
Le serveur de fichiers est trop lent,INFRA
On a un problème de permissions sur ce dossier,INFRA
Le cluster ElasticSearch est rouge,INFRA
Il faut redémarrer le service systemd,INFRA
La bande passante est saturée en upload,INFRA
Je provisionne une nouvelle machine virtuelle,INFRA
Le ping ne passe pas vers la gateway,INFRA
On doit configurer le VPN pour les développeurs,INFRA
Le bucket S3 est accessible publiquement,INFRA
Il faut archiver les vieux logs,INFRA
La mise à jour du kernel nécessite un reboot,INFRA
Le switch réseau a redémarré tout seul,INFRA
On a dépassé le quota de requêtes API,INFRA
Le service est en cours de maintenance,INFRA
J'analyse les métriques avec Grafana,INFRA
Le serveur mail est blacklisté,INFRA
Il faut monter le volume NFS sur le client,INFRA
La configuration Ansible est incorrecte,INFRA
Le port 8080 est déjà utilisé,INFRA
On migre vers une architecture serverless,INFRA
Le déploiement Blue-Green a réussi,INFRA
Il manque des dépendances système,INFRA
La tâche Jenkins est bloquée en attente,INFRA
Le cluster Kafka a perdu un broker,INFRA
Il faut renouveler le nom de domaine,INFRA
L'adresse IP est bannie par Fail2Ban,INFRA
On a un souci de configuration DNS,INFRA
Le serveur web ne répond plus au ping,INFRA
Je restaure la sauvegarde de la semaine dernière,INFRA
Le disque SSD est mort il faut le changer,INFRA
On doit isoler ce serveur du réseau,INFRA
Le script bash a fait une erreur de syntaxe,INFRA
Il faut configurer les alertes Slack,INFRA
La VM a redémarré suite à un kernel panic,INFRA
Le registre Docker privé est inaccessible,INFRA
On utilise Kubernetes pour l'orchestration,INFRA
Le fichier hosts est mal configuré,INFRA
Il faut ouvrir le port 443 en entrée,INFRA
La consommation mémoire est critique,INFRA
Le serveur DHCP ne distribue plus d'IP,INFRA
On a besoin de plus de cœurs CPU,INFRA
Le stack ELK ne reçoit plus de logs,INFRA
Il faut valider la configuration Terraform,INFRA
L'agent de monitoring est arrêté,INFRA
Le certificat racine n'est pas approuvé,INFRA
On déploie sur le staging avant la prod,INFRA
Le serveur proxy bloque les connexions sortantes,INFRA
Il faut synchroniser l'horloge NTP,INFRA
Le fichier de swap est utilisé à 100%,INFRA
On a une fuite de descripteurs de fichiers,INFRA
Le service ne démarre pas au boot,INFRA
J'ai perdu la main sur le terminal,INFRA
Le RAID est en mode dégradé,INFRA
Il faut changer les droits chmod sur le script,INFRA
La zone de disponibilité est hors service,INFRA
On utilise Azure AD pour l'authentification,INFRA
Le trafic réseau est anormalement élevé,INFRA
Il faut désactiver l'IPv6 sur cette interface,INFRA
Le serveur Tomcat a crashé,INFRA
On doit mettre à jour les paquets apt-get,INFRA
La clé SSH n'est pas autorisée,INFRA
Le montage du disque a échoué,INFRA
Il faut vider la file d'attente RabbitMQ,INFRA
Le serveur est victime d'une attaque DDoS,INFRA
On a configuré l'autoscaling sur le groupe,INFRA
Le fichier de config est en lecture seule,INFRA
Il faut redémarrer le routeur principal,INFRA
La latence disque ralentit tout le système,INFRA
On a perdu les logs d'hier,INFRA
Le serveur d'impression est bloqué,INFRA
Il faut faire un nettoyage des images Docker inutilisées,INFRA
La migration vers le cloud est terminée,INFRA
Nous constatons une indisponibilité du service principal,INFRA
Veuillez procéder à la mise à jour des serveurs,INFRA
La maintenance planifiée débutera à minuit,INFRA
L'espace de stockage critique est bientôt saturé,INFRA
Nous devons renforcer la redondance de l'INFRAstructure,INFRA
Le rapport d'incident indique une défaillance matérielle,INFRA
Veuillez confirmer le redémarrage de l'instance,INFRA
La bande passante réseau est actuellement insuffisante,INFRA
Nous avons détecté une anomalie sur le cluster,INFRA
Il est nécessaire d'augmenter les ressources allouées,INFRA
La migration des données vers le nouveau serveur est requise,INFRA
Veuillez vérifier les journaux d'événements du système,INFRA
Le certificat de sécurité doit être renouvelé impérativement,INFRA
Nous observons des temps de réponse dégradés,INFRA
L'accès au serveur de production est restreint,INFRA
Veuillez configurer la sauvegarde automatique des données,INFRA
Le plan de reprise d'activité a été activé,INFRA
Nous devons auditer la configuration du réseau,INFRA
La capacité de traitement du processeur est atteinte,INFRA
Veuillez isoler le serveur compromis du réseau,INFRA
Le déploiement de la nouvelle version est en cours,INFRA
Nous rencontrons des erreurs lors de la connexion à la base,INFRA
Il convient de purger les fichiers temporaires du système,INFRA
La haute disponibilité du service n'est plus garantie,INFRA
Veuillez appliquer les correctifs de sécurité recommandés,INFRA
Le serveur ne répond pas aux requêtes ICMP,INFRA
Nous devons optimiser la configuration du cache,INFRA
L'intégrité des données sauvegardées a été vérifiée,INFRA
Veuillez surveiller la charge du système attentivement,INFRA
Le service d'annuaire LDAP est inaccessible,INFRA
Nous avons besoin d'une autorisation pour l'arrêt du service,INFRA
La connectivité avec le fournisseur d'accès est instable,INFRA
Veuillez documenter la nouvelle architecture réseau,INFRA
Le quota d'utilisation du disque a été dépassé,INFRA
Nous devons configurer le pare-feu pour bloquer ce trafic,INFRA
L'installation du système d'exploitation est terminée,INFRA
Veuillez valider le script de déploiement automatisé,INFRA
La file d'attente des messages est saturée,INFRA
Nous devons remplacer le disque dur défectueux,INFRA
Le service de noms de domaine ne résout plus les adresses,INFRA
Veuillez vérifier l'état des services critiques,INFRA
La synchronisation des horloges système est nécessaire,INFRA
Nous avons perdu la redondance électrique du site,INFRA
L'accès distant via VPN est temporairement indisponible,INFRA
Veuillez restaurer la dernière configuration fonctionnelle,INFRA
Le système de fichiers présente des erreurs de lecture,INFRA
Nous devons mettre en place un équilibrage de charge,INFRA
La température de la salle serveur est trop élevée,INFRA
Veuillez acquitter l'alarme de supervision,INFRA
Le transfert de fichiers a été interrompu,INFRA
Nous devons mettre à jour le firmware des équipements,INFRA
La base de données principale est passée en mode lecture seule,INFRA
Veuillez vérifier la connectivité entre les sites,INFRA
L'authentification des utilisateurs échoue systématiquement,INFRA
Nous devons augmenter la capacité de la mémoire vive,INFRA
Le service de messagerie électronique rencontre des perturbations,INFRA
Veuillez générer un rapport de performance du serveur,INFRA
La configuration du routeur doit être modifiée,INFRA
Nous avons identifié un goulot d'étranglement dans le réseau,INFRA
L'accès administratif est réservé au personnel autorisé,INFRA
Veuillez planifier une fenêtre d'intervention TECHnique,INFRA
Le serveur virtuel a été migré avec succès,INFRA
Nous devons désactiver les services inutiles,INFRA
La latence du stockage impacte les performances applicatives,INFRA
Veuillez vérifier les règles de routage des paquets,INFRA
Le système de surveillance a détecté une intrusion,INFRA
Nous devons renouveler la licence du logiciel serveur,INFRA
La partition système dispose de moins de 10% d'espace libre,INFRA
Veuillez archiver les journaux d'activité anciens,INFRA
Le service web a redémarré suite à une erreur fatale,INFRA
Nous devons configurer une adresse IP statique,INFRA
La résolution DNS interne ne fonctionne pas,INFRA
Veuillez procéder à l'extinction propre du serveur,INFRA
Le lien fibre optique principal est coupé,INFRA
Nous basculons sur le lien de secours,INFRA
La configuration du proxy inverse est erronée,INFRA
Veuillez nettoyer l'espace disque sur le serveur de logs,INFRA
Le cluster de calcul est disponible pour les traitements,INFRA
Nous devons installer les outils de diagnostic réseau,INFRA
La virtualisation des serveurs permet une meilleure flexibilité,INFRA
Veuillez vérifier l'état des disques en RAID,INFRA
Le service de temps NTP est désynchronisé,INFRA
Nous devons restreindre l'accès au port SSH,INFRA
La consommation énergétique du centre de données est stable,INFRA
Veuillez mettre jour la liste de contrôle d'accès,INFRA
Le serveur de base de données nécessite un redémarrage,INFRA
Nous avons constaté une perte de paquets sur la ligne,INFRA
La configuration du VLAN doit être revue,INFRA
Veuillez sauvegarder la configuration actuelle avant modification,INFRA
Le système d'exploitation n'est plus supporté par l'éditeur,INFRA
Nous devons migrer vers une INFRAstructure plus robuste,INFRA
La déduplication des données permet d'économiser de l'espace,INFRA
Veuillez vérifier les câbles réseau dans la baie de brassage,INFRA
Le serveur d'application est prêt pour la production,INFRA
Nous devons définir une politique de rétention des sauvegardes,INFRA
La mise en production est validée par l'équipe INFRAstructure,INFRA
Veuillez nous informer de toute anomalie système,INFRA
Le service est rétabli et fonctionne nominalement,INFRA
Nous vous remercions de votre patience pendant l'incident,INFRA
Le serveu r est down encore,INFRA
Je rlance le pod qui a planté,INFRA
Espace disq presque plein,INFRA
Deploiment echoué dans le pipe,INFRA
Faut augmenter la RMA de la VM,INFRA
Les lgos prennent trop de place,INFRA
La BDD est en surchage CPU,INFRA
On migre sur AWS le mois prochin,INFRA
Load balncer repartit mal,INFRA
Besoin acces root SSH stp,INFRA
Certificat SSL a exprié,INFRA
T'as verif le firewall ?,INFRA
Doker ne demarre pas,INFRA
Perdu la connectivite avec le DC,INFRA
Faire un snapshpt avant maj,INFRA
Ngnix renvoie une 502,INFRA
Replication de la base cassée,INFRA
Scaler le cluser maintenant,INFRA
DNS propage pas bien,INFRA
Config du monitoring Prometheus,INFRA
Backups ont fail cette nuit,INFRA
Latence reseau enorme,INFRA
Cron job s'est pas lancé,INFRA
On utilise Teraform ici,INFRA
Instance E C 2 injoignable,INFRA
Purger le cahce Redis,INFRA
Volume persistant corompue,INFRA
Mis a jour image Dokcer,INFRA
Serveur fichiers trop lent,INFRA
Probleme permisions dossier,INFRA
ElasticSearch est rouge alerte,INFRA
Redemarrer service systemd,INFRA
Bande passante saturée,INFRA
Provisionne une nvelle VM,INFRA
Ping passe pas la gateway,INFRA
Config VPN pour les devs,INFRA
Bucket S3 ouvert a tous,INFRA
Archiver vieux logs,INFRA
Update kernel besoin reboot,INFRA
Switch reseau a rebooté,INFRA
Quota API depassé,INFRA
Maintenance en cour,INFRA
Metriques Grafana bizarres,INFRA
Serveur mail blacklisté,INFRA
Monter volume NFS,INFRA
Config Ansible fausse,INFRA
Port 8080 deja pris,INFRA
Migre vers serverless,INFRA
Deploy Blue Green ok,INFRA
Manque dependances sys,INFRA
Tache Jenkins bloquée,INFRA
Cluster Kafka perdu broker,INFRA
Renouveler nom de domaine,INFRA
IP bannie par Fail2Ban,INFRA
Souci config DNS,INFRA
Serveur web repond plus,INFRA
Restaure backup semaine derniere,INFRA
Disque S SD mort,INFRA
Isoler ce servr du reseau,INFRA
Script bash erreur syntaxe,INFRA
Config alertes Slak,INFRA
VM reboot kernel panic,INFRA
Registre Docker privé down,INFRA
Utilise Kuberneets,INFRA
Fichier hosts mal config,INFRA
Ouvrir port 443 entree,INFRA
Conso memoire critique,INFRA
Serveur DHCP donne plus IP,INFRA
Besoin plus de coeurs CP U,INFRA
Stack ELK recoit rien,INFRA
Valider config Teraform,INFRA
Agent monitoring stopé,INFRA
Certif racine pas trusté,INFRA
Deploy staging avant prod,INFRA
Proxy bloque sorties,INFRA
Synchro horloge NTP,INFRA
Swap utilisé a 100%,INFRA
Fuite descripteurs fichiers,INFRA
Service demarre pas boot,INFRA
Perdu la main terminal,INFRA
RAID degradé,INFRA
Changer droits chmod,INFRA
Zone de dispo HS,INFRA
Azure AD pour auth,INFRA
Trafic reseau haut,INFRA
Desactiver IP v6,INFRA
Tomcat a crashé,INFRA
Maj paquets aptget,INFRA
Cle SSH pas autorisée,INFRA
Montage disque fail,INFRA
Vider queue Rabbit M Q,INFRA
Attaque DDoS en cours,INFRA
Autoscaling configuré,INFRA
Fichier config read only,INFRA
Redemarrer routeur principal,INFRA
Latence disque lenteur,INFRA
Perdu logs hier,INFRA
Serveur print bloqué,INFRA
Nettoyage images Doker,INFRA
Migration cloud finie,INFRA
Le serveur est bas temps,INFRA
Je relance la boîte qui a casser,INFRA
Espace disque est beaucoup plein,INFRA
Le mettre a tomber dans tuyau,INFRA
Il faut plus mémoire machine,INFRA
Les journaux manger place,INFRA
La base données est chaud CPU,INFRA
Nous bouger service nuage demain,INFRA
La balance charge partage pas,INFRA
J'ai besoin racine accès,INFRA
Le papier sécurité est mort hier,INFRA
Tu as regarder le mur feu ?,INFRA
Le boîte Docker marche pas,INFRA
Nous perdu la ligne centre données,INFRA
Faire photo avant jour,INFRA
Le service dire mauvais porte,INFRA
La copie base est casser,INFRA
Grandir la grappe pour trafic,INFRA
Le nom adresse marche pas,INFRA
Je faire regarder avec outil,INFRA
Les sauver nuit ont tomber,INFRA
Il y a temps long sur réseau,INFRA
Le travail temps a pas courir,INFRA
Nous utiliser terre forme code,INFRA
La machine est pas joindre,INFRA
Laver la mémoire cache,INFRA
Le disque dur est malade,INFRA
J'ai jour image dernière,INFRA
Serveur dossier est lent,INFRA
Problème droit sur dossier,INFRA
Grappe recherche est rouge,INFRA
Redémarrer service système,INFRA
Le tuyau internet est plein,INFRA
Je faire nouvelle machine,INFRA
Le ping passe pas porte,INFRA
Faire VPN pour codeurs,INFRA
Le seau S3 est ouvert public,INFRA
Mettre vieux journaux boîte,INFRA
Jour noyau besoin départ,INFRA
Le bouton réseau a départ seul,INFRA
Nous dépasser nombre demandes,INFRA
Le service est sous réparation,INFRA
Je regarder chiffres graphique,INFRA
Serveur lettre est liste noire,INFRA
Monter disque sur client,INFRA
La règle Ansible est faux,INFRA
Le port est occupé déjà,INFRA
Nous aller sans serveur,INFRA
Le mettre Bleu Vert est bon,INFRA
Il manque choses système,INFRA
Le travail Jenkins est attendre,INFRA
La grappe a perdu morceau,INFRA
Acheter nom domaine encore,INFRA
Adresse est interdire par robot,INFRA
Problème nom système,INFRA
Serveur toile répond plus,INFRA
Je remettre sauver semaine,INFRA
Disque rapide est mort changer,INFRA
Couper ce serveur réseau,INFRA
Le texte commande a erreur,INFRA
Faire alerte message,INFRA
La machine a départ panique,INFRA
Livre images privé est fermé,INFRA
Nous utiliser pilote navire,INFRA
Fichier hôtes est mauvais,INFRA
Ouvrir porte 443 entrée,INFRA
Manger mémoire est grave,INFRA
Serveur adresse donne pas,INFRA
Besoin plus coeurs processeur,INFRA
Pile journaux reçoit rien,INFRA
Dire oui terre forme,INFRA
Agent regarder est arrêt,INFRA
Papier racine est pas confiance,INFRA
Mettre scène avant production,INFRA
Intermédiaire bloquer sortie,INFRA
Mettre heure temps ensemble,INFRA
Fichier échange est plein,INFRA
Fuite nombre fichier,INFRA
Service marche pas démarrage,INFRA
J'ai perdu main écran,INFRA
Disque groupe est dégradé,INFRA
Changer droits lecture écriture,INFRA
Zone disponibilité est mort,INFRA
Nous utiliser nuage identité,INFRA
Voitures réseau est haut,INFRA
Éteindre adresse v6,INFRA
Serveur chat a tomber,INFRA
Jour paquets installation,INFRA
Clé sécurité pas permis,INFRA
Montagne disque a tomber,INFRA
Vider la ligne lapin,INFRA
Serveur est victime attaque,INFRA
Grandir auto est fait,INFRA
Fichier règle lire seul,INFRA
Redémarrer routeur chef,INFRA
Retard disque lent système,INFRA
Perdu journaux hier,INFRA
Serveur imprimer est coincé,INFRA
Nettoyage images pas utiliser,INFRA
Voyage nuage est fini,INFRA
On a détecté une tentative de phishing sur la boite mail,CYBER
Le firewall bloque les connexions entrantes sur le port 22,CYBER
Il faut patcher la faille CVE critique ce soir,CYBER
Un ransomware a chiffré les fichiers du serveur RH,CYBER
Le SOC a remonté une alerte de niveau 1,CYBER
Ne clique surtout pas sur le lien dans le SMS,CYBER
J'ai lancé un scan de vulnérabilités avec Nessus,CYBER
Le mot de passe admin est trop faible,CYBER
On subit une attaque DDoS sur le site public,CYBER
Il faut activer l'authentification à deux facteurs partout,CYBER
Les logs montrent une élévation de privilèges suspecte,CYBER
Le certificat SSL est invalide et c'est un risque,CYBER
On a trouvé un malware sur le poste du comptable,CYBER
Il faut mettre à jour l'antivirus immédiatement,CYBER
C'est une attaque par injection SQL classique,CYBER
Le hacker a exfiltré des données clients sensibles,CYBER
Tu as vérifié les règles du pare-feu applicatif WAF ?,CYBER
On doit faire un test d'intrusion le mois prochain,CYBER
Le compte utilisateur a été compromis,CYBER
Il y a des mouvements latéraux sur le réseau interne,CYBER
Le SIEM n'a pas détecté l'attaque à temps,CYBER
On a reçu un mail de chantage,CYBER
Le fichier joint contient une macro malveillante,CYBER
Il faut changer les clés SSH par sécurité,CYBER
L'attaquant utilise un proxy pour masquer son IP,CYBER
On a une fuite de données sur le dark web,CYBER
Le système n'est pas conforme à la norme ISO 27001,CYBER
J'ai isolé la machine infectée du réseau,CYBER
Le script utilise une faille Zero Day,CYBER
Il faut sensibiliser les employés à la sécurité,CYBER
Le token de session a été volé,CYBER
On a détecté un brute force sur le serveur FTP,CYBER
L'accès physique à la salle serveur est forcé,CYBER
Le code contient des identifiants en dur,CYBER
Il faut révoquer les accès de l'ancien employé,CYBER
L'attaque vient d'une adresse IP en Russie,CYBER
Le wifi invité n'est pas sécurisé,CYBER
On doit chiffrer les disques durs des portables,CYBER
Le serveur DNS a été empoisonné,CYBER
Il y a un keylogger sur cet ordinateur,CYBER
L'application est vulnérable au XSS,CYBER
On a bloqué l'accès à ce site malveillant,CYBER
Le rapport d'audit sécurité est catastrophique,CYBER
Il faut segmenter le réseau pour limiter l'impact,CYBER
La politique de mots de passe est trop laxiste,CYBER
On a détecté du trafic sortant vers un C&C,CYBER
L'attaquant a utilisé l'ingénierie sociale,CYBER
Il faut désactiver les ports USB sur les postes,CYBER
Le patch de sécurité a cassé la production,CYBER
On soupçonne une attaque de l'homme du milieu,CYBER
Le VPN est la seule entrée sécurisée,CYBER
Il faut surveiller les logs d'accès minuit,CYBER
La sauvegarde est notre seule chance de récupération,CYBER
On a reçu une alerte de l'ANSSI,CYBER
Le pare-feu bloque légitimement ce trafic,CYBER
Il faut faire une analyse forensique du disque,CYBER
Le compte admin par défaut est actif,CYBER
On a trouvé un shell web sur le serveur,CYBER
L'intégrité des fichiers système est compromise,CYBER
Il faut appliquer le principe de moindre privilège,CYBER
Le protocole Telnet n'est pas sécurisé,CYBER
On a une alerte virus sur le poste 12,CYBER
Le hacker demande une rançon en Bitcoin,CYBER
Il faut vérifier les signatures des fichiers,CYBER
La faille Heartbleed affecte nos serveurs,CYBER
On doit mettre en place un plan de réponse,CYBER
Le lien de réinitialisation est non sécurisé,CYBER
Il y a une porte dérobée dans le code,CYBER
L'attaque a exploité une faille Java,CYBER
On doit scanner les pièces jointes des mails,CYBER
Le hachage des mots de passe est obsolète,CYBER
Il faut bloquer les IP du réseau Tor,CYBER
La détection d'intrusion est active,CYBER
On a subi une attaque par dictionnaire,CYBER
Le firmware du routeur est vulnérable,CYBER
Il faut sécuriser les conteneurs Docker,CYBER
L'attaquant a effacé ses traces dans les logs,CYBER
On a trouvé des fichiers cachés suspects,CYBER
Le protocole HTTPS est mal configuré,CYBER
Il faut interdire les mots de passe simples,CYBER
La base de données est accessible sans mot de passe,CYBER
On a une alerte de sécurité critique,CYBER
Le pirate a pris le contrôle du domaine,CYBER
Il faut faire une revue des accès utilisateurs,CYBER
L'application fuite des données personnelles,CYBER
On doit installer un EDR sur les serveurs,CYBER
Le scan de ports montre trop de services ouverts,CYBER
Il faut protéger les clés API,CYBER
La vulnérabilité permet l'exécution de code à distance,CYBER
On a détecté un faux point d'accès wifi,CYBER
Le sandboxing a bloqué le fichier suspect,CYBER
Il faut valider les entrées pour éviter les injections,CYBER
L'attaque a duré toute la nuit,CYBER
On doit changer tous les mots de passe admin,CYBER
Le chiffrement de bout en bout est requis,CYBER
Il faut surveiller le darknet pour nos données,CYBER
La clé privée a été exposée sur GitHub,CYBER
On a bloqué l'attaque au niveau du périmètre,CYBER
Le système de détection est aveugle,CYBER
Il faut auditer le code source régulièrement,CYBER
Nous vous informons d'une violation de sécurité potentielle,CYBER
Veuillez changer votre mot de passe immédiatement,CYBER
Une activité suspecte a été détectée sur votre compte,CYBER
Il est impératif de respecter la politique de sécurité,CYBER
Nous avons bloqué l'accès préventivement par sécurité,CYBER
Veuillez ne pas divulguer vos identifiants à des tiers,CYBER
Le système a détecté un logiciel malveillant,CYBER
Nous procédons à une analyse forensique approfondie,CYBER
L'incident de sécurité a été contenu avec succès,CYBER
Veuillez signaler tout e-mail suspect au service informatique,CYBER
La confidentialité de vos données est notre priorité,CYBER
Nous déployons un correctif de sécurité urgent,CYBER
L'accès au réseau est soumis à authentification forte,CYBER
Veuillez vérifier l'URL avant de saisir vos informations,CYBER
Une tentative d'hameçonnage cible notre organisation,CYBER
Nous avons réinitialisé vos accès par mesure de précaution,CYBER
Il est strictement interdit de contourner les mesures de sécurité,CYBER
Veuillez mettre à jour votre système d'exploitation sans délai,CYBER
Nous auditons régulièrement nos INFRAstructures critiques,CYBER
La fuite de données concerne des informations personnelles,CYBER
Veuillez utiliser le canal sécurisé pour transférer ce fichier,CYBER
Le certificat numérique assure l'authenticité du site,CYBER
Nous avons détecté une connexion depuis un appareil inconnu,CYBER
Veuillez chiffrer les données sensibles avant envoi,CYBER
L'intégrité du système a été vérifiée par nos experts,CYBER
Nous vous recommandons d'activer la double authentification,CYBER
Une vulnérabilité critique affecte notre logiciel de messagerie,CYBER
